transaction_date,merchant_category,transaction_amount
2019-01-01,Entertainment,6373.1
2019-01-01,Travel,6847.9
2019-01-01,Shopping Pos,10703.67
2019-01-01,Shopping Net,9851.64
2019-01-01,Misc Pos,8059.62
2019-01-01,Misc Net,8589.68
2019-01-01,Kids Pets,10820.43
2019-01-01,Personal Care,6536.73
2019-01-01,Health Fitness,7352.88
2019-01-01,Grocery Pos,21908.21
2019-01-01,Grocery Net,3380.47
2019-01-01,Gas Transport,13437.82
2019-01-01,Food Dining,5988.17
2019-01-01,Home,10589.4
2019-01-02,Misc Net,6376.24
2019-01-02,Travel,1862.93
2019-01-02,Shopping Pos,2492.98
2019-01-02,Shopping Net,3316.24
2019-01-02,Personal Care,3721.2
2019-01-02,Misc Pos,2372.37
2019-01-02,Kids Pets,4036.61
2019-01-02,Grocery Net,1940.41
2019-01-02,Health Fitness,3233.25
2019-01-02,Grocery Pos,10956.0
2019-01-02,Gas Transport,5750.1
2019-01-02,Food Dining,2631.11
2019-01-02,Entertainment,4433.68
2019-01-02,Home,6837.51
2019-01-03,Misc Net,4072.82
2019-01-03,Travel,2565.2999999999997
2019-01-03,Shopping Pos,7037.09
2019-01-03,Shopping Net,5944.4400000000005
2019-01-03,Personal Care,3456.38
2019-01-03,Misc Pos,3809.3
2019-01-03,Kids Pets,5015.15
2019-01-03,Grocery Net,1979.48
2019-01-03,Health Fitness,3608.87
2019-01-03,Grocery Pos,13111.38
2019-01-03,Gas Transport,7385.98
2019-01-03,Food Dining,4031.56
2019-01-03,Entertainment,5185.63
2019-01-03,Home,5712.61
2019-01-04,Travel,3340.22
2019-01-04,Shopping Pos,12081.41
2019-01-04,Shopping Net,10435.42
2019-01-04,Personal Care,4388.8
2019-01-04,Misc Pos,3815.67
2019-01-04,Misc Net,5441.04
2019-01-04,Kids Pets,6471.42
2019-01-04,Health Fitness,4883.5
2019-01-04,Grocery Pos,14244.8
2019-01-04,Grocery Net,2586.93
2019-01-04,Gas Transport,7437.35
2019-01-04,Food Dining,4027.79
2019-01-04,Entertainment,5696.21
2019-01-04,Home,7932.19
2019-01-05,Misc Net,7964.94
2019-01-05,Travel,2913.4
2019-01-05,Shopping Pos,9565.66
2019-01-05,Shopping Net,8848.16
2019-01-05,Personal Care,4451.88
2019-01-05,Misc Pos,2473.88
2019-01-05,Kids Pets,6338.07
2019-01-05,Grocery Net,1742.8400000000001
2019-01-05,Health Fitness,3807.1
2019-01-05,Entertainment,6139.28
2019-01-05,Food Dining,3979.94
2019-01-05,Home,5567.97
2019-01-05,Grocery Pos,12710.61
2019-01-05,Gas Transport,8586.91
2019-01-06,Misc Net,6330.55
2019-01-06,Travel,3078.65
2019-01-06,Shopping Pos,8017.17
2019-01-06,Shopping Net,15220.26
2019-01-06,Personal Care,6751.18
2019-01-06,Misc Pos,4660.38
2019-01-06,Kids Pets,7029.25
2019-01-06,Home,8871.68
2019-01-06,Health Fitness,5488.62
2019-01-06,Grocery Pos,17087.69
2019-01-06,Grocery Net,2705.73
2019-01-06,Gas Transport,11473.05
2019-01-06,Food Dining,6340.72
2019-01-06,Entertainment,7769.42
2019-01-07,Shopping Pos,18620.85
2019-01-07,Shopping Net,14918.45
2019-01-07,Personal Care,6266.85
2019-01-07,Misc Pos,9223.25
2019-01-07,Misc Net,8317.34
2019-01-07,Travel,5807.37
2019-01-07,Kids Pets,11178.12
2019-01-07,Health Fitness,5938.65
2019-01-07,Grocery Pos,21748.96
2019-01-07,Grocery Net,3573.19
