,credit_card_number,first_name,last_name,gender,date_of_birth,job,street_address,city,state,zip_code,latitude,longitude,city_population,merchant_name,merchant_category,merchant_latitude,merchant_longitude,transaction_id,transaction_amount,transaction_date,transaction_time,unix_timestamp,seconds_since_last_txn,is_fraud
count,1080307,1080307,1080307,1080307,1080307,1080307,1080307,1080307,1080307,1080307,1080307.0,1080307.0,1072640.0,1080307,1080307,1080307.0,1080307.0,1080307,1080307.0,1080307,1080307,1080307.0,1079513.0,1080307.0
unique,794,328,431,2,801,454,813,752,50,804,,,,693,14,,,1080307,,,86398,,,
top,************5790,Christopher,Smith,F,1977-03-23,Systems Developer,8172 Robertson Parkways Suite 072,Birmingham,TX,34112,,,,Kilback Llc,Gas Transport,,,2d8d144abbdb1f252d34a29e56bc91c8,,,22:43:42,,,
freq,6715,24596,24679,586075,5636,7700,3119,5617,75963,3613,,,,3684,109559,,,1,,,32,,,
mean,,,,,,,,,,,38.5845677409292,-89.76647803115225,83430.06271722107,,,38.58424133456138,-89.76672702067931,,70.27383938084266,2019-10-03 01:55:00.198555392,,1349252446.0007071,31775.168822422704,0.0057566969389256945
min,,,,,,,,,,,26.1184,-165.6723,51.0,,,25.11883,-166.671242,,1.0,2019-01-01 00:00:00,,1325376018.0,0.0,0.0
25%,,,,,,,,,,,34.5906,-96.5232,805.0,,,34.681697,-96.423167,,9.61,2019-06-03 00:00:00,,1338756538.5,5804.0,0.0
50%,,,,,,,,,,,39.4055,-86.9657,2644.0,,,39.403375,-87.205362,,47.27,2019-10-03 00:00:00,,1349274268.0,16084.0,0.0
75%,,,,,,,,,,,42.0158,-80.1284,20328.0,,,42.00434,-80.132038,,83.1,2020-01-28 00:00:00,,1359392535.0,39278.0,0.0
max,,,,,,,,,,,66.6933,-67.9503,2906700.0,,,67.510267,-66.950902,,28948.9,2020-06-21 00:00:00,,1371816816.0,1341471.0,1.0
std,,,,,,,,,,,4.983097434477673,13.280518306311508,278651.74469653115,,,5.017955699638836,13.293201905864498,,156.87933808235837,,,12839994.699828506,46660.32161611961,0.07565423106058312
